id	parent_id	language	ontology	other_parents	label	definition	ul_label	ui_definition	ui_help	deprecated	replaced_by	oboInOwl_hasSynonym	oboInOwl_hasBroadSynonym	oboInOwl_hasExactSynonym	oboInOwl_hasNarrowSynonym	IAO_0000118
MA:0001286	MA:0001911		adult_mouse_anatomy.gxd		vitreous humor											
MA:0000005	MA:0002433		adult_mouse_anatomy.gxd		body cavity or lining											
MA:0000006	MA:0002433		adult_mouse_anatomy.gxd		head and neck											
MA:0000007	MA:0002433		adult_mouse_anatomy.gxd		limb											
MA:0000008	MA:0002433		adult_mouse_anatomy.gxd		tail											
MA:0000004	MA:0002433		adult_mouse_anatomy.gxd		trunk											
MA:0000166	MA:0002437		adult_mouse_anatomy.gxd		smooth muscle tissue											
MA:0002438	MA:0002437		adult_mouse_anatomy.gxd		striated muscle tissue											
MA:0002441	MA:0002438		adult_mouse_anatomy.gxd		cardiac muscle tissue											
MA:0002439	MA:0002438		adult_mouse_anatomy.gxd		skeletal muscle tissue											
MA:0002443	MA:0002442		adult_mouse_anatomy.gxd		auditory system											
MA:0002446	MA:0002442		adult_mouse_anatomy.gxd		gustatory system											
MA:0002445	MA:0002442		adult_mouse_anatomy.gxd		olfactory system											
MA:0002444	MA:0002442		adult_mouse_anatomy.gxd		visual system											
MA:0003057	MA:0002447		adult_mouse_anatomy.gxd		abdominal cavity											
MA:0003061	MA:0002447		adult_mouse_anatomy.gxd		cranial cavity											
MA:0003089	MA:0002447		adult_mouse_anatomy.gxd		pelvic cavity											
MA:0000053	MA:0002447		adult_mouse_anatomy.gxd		pericardial cavity											
MA:0000054	MA:0002447		adult_mouse_anatomy.gxd		peritoneal cavity											
MA:0000055	MA:0002447		adult_mouse_anatomy.gxd		pleural cavity											
MA:0000032	MA:0002447		adult_mouse_anatomy.gxd		thoracic cavity											
MA:0000099	MA:0002448		adult_mouse_anatomy.gxd		pericardium											
MA:0000449	MA:0002448		adult_mouse_anatomy.gxd		peritoneum											
MA:0000433	MA:0002448		adult_mouse_anatomy.gxd		pleura											
